key,zh,en
方向键移动，ESC设置，I背包,方向键移动，ESC设置，I背包,"Arrow keys to move, ESC for settings, I for inventory."
进入第1层,进入第1层,Entering Floor 1
感谢你完成了本游戏，希望你有一场愉快的冒险。,感谢你完成了本游戏，希望你有一场愉快的冒险。,Thank you for completing the game! We hope you enjoyed the adventure.
有任何事宜和评论，请联系我的邮箱：anystarworld@qq.com，或者加我的QQ2056681440，谢谢。,有任何事宜和评论，请联系我的邮箱：anystarworld@qq.com，或者加我的QQ2056681440，谢谢。,"For any inquiries or feedback, please email: anystarworld@qq.com, or QQ: 2056681440. Thank you!"
当你打开门的一刻，你看到一道白光朝你而来,当你打开门的一刻，你看到一道白光朝你而来,"As you open the door, a blinding white light rushes toward you."
那不知名的掌声再次响起，伴随着嘘声.,那不知名的掌声再次响起，伴随着嘘声.,"Mysterious applause rings out again, mixed with jeers."
恭喜你们，优秀员工奖非你们莫属！无比精彩的表演，许多观众为你们落泪，你们的演绎将成为珍珠，挂在宇宙娱乐圈巅峰的桂冠上。,恭喜你们，优秀员工奖非你们莫属！无比精彩的表演，许多观众为你们落泪，你们的演绎将成为珍珠，挂在宇宙娱乐圈巅峰的桂冠上。,Congratulations! The 'Outstanding Employee' award is yours! A magnificent performance — many in the audience wept. Your art will shine like a pearl on the crown of the cosmic entertainment industry.
无可救药的演员工厂人，早就应该将你们销毁！失控又失控！不听话的工厂人有什么用！害我输了一大笔钱！,无可救药的演员工厂人，早就应该将你们销毁！失控又失控！不听话的工厂人有什么用！害我输了一大笔钱！,Hopeless factory actors! You should have been scrapped long ago! Out of control! What use are disobedient factory workers?! You cost me a fortune!
他气的双手发抖，机械关节渗出昂贵的机油。,他气的双手发抖，机械关节渗出昂贵的机油。,His hands tremble with rage; expensive oil seeps from his mechanical joints.
B你先别生气，这次虽然有许多差评，但是收视率非常高。,B你先别生气，这次虽然有许多差评，但是收视率非常高。,"B, calm down. Sure, there were bad reviews, but the ratings are through the roof."
作为庄家的老板两头通吃，赚得盆满钵满。,作为庄家的老板两头通吃，赚得盆满钵满。,The boss plays both sides and rakes in a fortune.
下面说一下结果吧。,下面说一下结果吧。,Let's get to the results.
勇士和魔塔之主，你们通过了我们的考验。根据赌约，如果你们中只有一个人能够走出这扇门，那么另一个人就会被销毁。,勇士和魔塔之主，你们通过了我们的考验。根据赌约，如果你们中只有一个人能够走出这扇门，那么另一个人就会被销毁。,"Brave and Tower Lord — you've passed our test. Per the bet: if only one of you walks through that door, the other will be scrapped."
但是或许有人不知道，我们的赌约还有另一部分，那就是，如果两位都出来，那么我就会帮你们申报，获得公民身份。,但是或许有人不知道，我们的赌约还有另一部分，那就是，如果两位都出来，那么我就会帮你们申报，获得公民身份。,"But what some don't know is — the bet has another clause. If you BOTH walk out, I'll file for you to gain citizenship."
……,……,...
……,……,...
魔塔之主和勇者曾是最畅销的恋人搭档，但是观众很快就厌倦了他们的恩爱，希望他们反目成仇，于是他们相互厮杀直到另一方死亡，再由工厂重新复活。,魔塔之主和勇者曾是最畅销的恋人搭档，但是观众很快就厌倦了他们的恩爱，希望他们反目成仇，于是他们相互厮杀直到另一方死亡，再由工厂重新复活。,"The Tower Lord and the Brave were once a bestselling lover duo. But audiences grew tired of their romance and wanted to see them turn on each other — so they fought until one died, only to be revived by the factory."
有一天，当他们意识到了自己不过是他人手中的傀儡，进行了反抗，投资人厌恶不听话的工厂人，镇压了他们。,有一天，当他们意识到了自己不过是他人手中的傀儡，进行了反抗，投资人厌恶不听话的工厂人，镇压了他们。,"One day, they realized they were merely puppets. They rebelled. The investors, despising disobedient factory workers, crushed them."
最终他们被洗去记忆，扔进了废弃仓库。,最终他们被洗去记忆，扔进了废弃仓库。,"In the end, their memories were wiped and they were discarded into an abandoned warehouse."
而金牌制作人A决定启用他们，说服老板为他们搭建一个舞台，一次次的重启，选择，以此为赌注让场外的观众们下注，造就了无比精彩的表演。,而金牌制作人A决定启用他们，说服老板为他们搭建一个舞台，一次次的重启，选择，以此为赌注让场外的观众们下注，造就了无比精彩的表演。,"But Producer A decided to use them again, convincing the boss to build a stage. Reset after reset, choice after choice — the audience outside placed their bets, creating a spectacular show."
这一次让他再一次地看到了曾经荧屏上演员的风采。,这一次让他再一次地看到了曾经荧屏上演员的风采。,"This time, he saw the old screen legends shine once more."
无论他们属于哪里，他将为他们争取权益。,无论他们属于哪里，他将为他们争取权益。,"No matter where they belong, he will fight for their rights."
（镜头聚焦在勇士和魔塔之主身上，他们同时看向对方，魔塔之主轻轻点头）,（镜头聚焦在勇士和魔塔之主身上，他们同时看向对方，魔塔之主轻轻点头）,(The camera focuses on the Brave and the Tower Lord. They look at each other; the Tower Lord nods softly.)
这次，请为自己而活。,这次，请为自己而活。,This time — live for yourselves.
（画面渐暗，出现演职员表）,（画面渐暗，出现演职员表）,(The screen fades to credits.)
恶魔——杰姆；药剂师——莉娜；徘徊的幽灵——无名者；巫师——乌诺；魔塔之主——菲欧娜,恶魔——杰姆；药剂师——莉娜；徘徊的幽灵——无名者；巫师——乌诺；魔塔之主——菲欧娜,Devil — Jim; Alchemist — Lina; Wandering Ghost — The Nameless One; Wizard — Uno; Tower Lord — Fiona
那么到这里，故事就结束了。,那么到这里，故事就结束了。,"And so, the story comes to an end."
摄像机红灯打过，工厂人瞳孔闪过着属于人类的虹膜色彩,摄像机红灯打过，工厂人瞳孔闪过着属于人类的虹膜色彩,"The camera's red light flickers. For a moment, the factory worker's eyes flash with the iris of a human."
"一行小字浮现：""本片未使用AI演员，以保护AI合法权益""","一行小字浮现：""本片未使用AI演员，以保护AI合法权益""","A small line appears: ""No AI actors were used in this production, to protect AI's legal rights."""
她看了你一眼，转过身……,她看了你一眼，转过身……,"She glances at you, then turns away..."
神给了你重生的机会,神给了你重生的机会,God grants you a chance to be reborn.
你成功打败了魔塔之主，拿到了白色的钥匙，当你打开门的一刻，你看到一道白光朝你而来,你成功打败了魔塔之主，拿到了白色的钥匙，当你打开门的一刻，你看到一道白光朝你而来,"You defeated the Tower Lord and claimed the White Key. As you open the door, a blinding white light rushes toward you."
那不知名的掌声再次响起，神的声音在你耳畔响起,那不知名的掌声再次响起，神的声音在你耳畔响起,"Mysterious applause rings out again, and God's voice echoes in your ear."
恭喜你，你成功打败了魔塔之主，成为了这个世界的英雄,恭喜你，你成功打败了魔塔之主，成为了这个世界的英雄,Congratulations! You have defeated the Tower Lord and become the hero of this world.
……,……,...
你仿佛听见自己的胸腔中跳动的声音，一切都是如此熟悉。,你仿佛听见自己的胸腔中跳动的声音，一切都是如此熟悉。,You feel a heartbeat resonance in your chest — everything feels so familiar.
一位棕色卷发束成高马尾的圆脸女药剂师，雀斑点缀的笑脸泛着红晕。她身穿洗得发白的绿色亚麻长袍，外罩缝满口袋的靛蓝围裙。此刻她左手高举冒着绿烟的锥形瓶，踮脚前倾的身体几乎要探出橡木柜台，晶亮的榛子色眼珠紧追着滚动的钱币，咧开的嘴角扬起狡黠的弧度。,一位棕色卷发束成高马尾的圆脸女药剂师，雀斑点缀的笑脸泛着红晕。她身穿洗得发白的绿色亚麻长袍，外罩缝满口袋的靛蓝围裙。此刻她左手高举冒着绿烟的锥形瓶，踮脚前倾的身体几乎要探出橡木柜台，晶亮的榛子色眼珠紧追着滚动的钱币，咧开的嘴角扬起狡黠的弧度。,"A round-faced young woman with brown hair tied in a high ponytail. Freckles dot her flushed cheeks. She wears a faded green linen robe under a blue apron stuffed with pockets. In her left hand, she hoists a smoking flask of green vapor, leaning so far over the oak counter she might topple. Her hazel eyes track a rolling coin with delight, a sly grin spreading across her face."
要和她战斗吗?,要和她战斗吗?,Fight her?
战斗,战斗,Fight
你要打败我？来试试吧！,你要打败我？来试试吧！,"You want to fight me? Come on, then!"
取消,取消,Cancel
你就是那个传说中的勇士？要不要看一看我这里的东西？,你就是那个传说中的勇士？要不要看一看我这里的东西？,So you're the legendary Brave? Want to browse my wares?
嗨，勇士，来看一看我的商品吧！,嗨，勇士，来看一看我的商品吧！,"Hey, Brave! Come check out my goods!"
你成功了！太好了！,你成功了！太好了！,You did it! Great!
制作,制作,Craft
解除变形药水,解除变形药水,Deformation Relief Potion
我需要3个【蓝色草药】，收你150gold,我需要3个【蓝色草药】，收你150gold,I need 3 Blue Herbs. That'll be 150 gold.
确认,确认,Confirm
取消,取消,Cancel
生命药水,生命药水,Health Potion
它能为你增加50点生命，我需要1个【红色草药】，收你100gold,它能为你增加50点生命，我需要1个【红色草药】，收你100gold,It'll restore 50 HP. I need 1 Red Herb. That'll be 100 gold.
确认,确认,Confirm
取消,取消,Cancel
永恒药水,永恒药水,Perpetual Potion
它能让你的生命力翻倍。我需要1颗【永恒的心】和3个【红色草药】，收你300gold,它能让你的生命力翻倍。我需要1颗【永恒的心】和3个【红色草药】，收你300gold,It'll double your vitality. I need 1 Eternal Heart and 3 Red Herbs. That'll be 300 gold.
确认,确认,Confirm
取消,取消,Cancel
现形药水,现形药水,Revealing Potion
它能让整个层的陷阱现形。我需要5个【蓝色草药】，收你100gold,它能让整个层的陷阱现形。我需要5个【蓝色草药】，收你100gold,It'll reveal all traps on the floor. I need 5 Blue Herbs. That'll be 100 gold.
确认,确认,Confirm
取消,取消,Cancel
取消,取消,Cancel
购买,购买,Buy
取消,取消,Cancel
看起来你身上的东西不足，准备好了再来找我吧。,看起来你身上的东西不足，准备好了再来找我吧。,Looks like you don't have enough. Come back when you're ready.
好好使用它,好好使用它,Use it well.
你是个慷慨大方又努力的人，我宣布我们是朋友了。但是抱歉我还是不会打折的。,你是个慷慨大方又努力的人，我宣布我们是朋友了。但是抱歉我还是不会打折的。,You're generous and hardworking. I declare us friends! But sorry — still no discounts.
如果你遇到杰姆，千万别相信他说的话，他是一个恶魔，如果你可以杀了他，我会奖励你的,如果你遇到杰姆，千万别相信他说的话，他是一个恶魔，如果你可以杀了他，我会奖励你的,"If you run into Jim, don't believe a word he says. He's a demon. If you can kill him, I'll reward you."
你有见过第4层的那个幽灵吗？它是个疯子，总是在说些奇怪的话。,你有见过第4层的那个幽灵吗？它是个疯子，总是在说些奇怪的话。,Have you seen that ghost on Floor 4? He's crazy — always muttering strange things.
……,……,...
好吧，今天还是要看一看吗？,好吧，今天还是要看一看吗？,"Alright, still want to browse today?"
非常感谢你！这是给你的奖励！这枚戒指是珍贵之物，请好好珍惜。,非常感谢你！这是给你的奖励！这枚戒指是珍贵之物，请好好珍惜。,Thank you so much! This is your reward. This ring is precious — please treasure it.
……,……,...
你想知道我的故事？好的，这个故事说来话长。,你想知道我的故事？好的，这个故事说来话长。,You want to hear my story? Alright — it's a long one.
我出生在一个农户家庭，虽然我们的家很小，但一切都很幸福。,我出生在一个农户家庭，虽然我们的家很小，但一切都很幸福。,"I was born into a farming family. Our home was small, but we were happy."
不知道从什么时候开始，镇上的魔物变多了，哥哥是镇上的护卫经常受伤，所以我决定未来要成为一个药剂师，这样我就可以帮助哥哥了。,不知道从什么时候开始，镇上的魔物变多了，哥哥是镇上的护卫经常受伤，所以我决定未来要成为一个药剂师，这样我就可以帮助哥哥了。,"Then monsters started appearing in town. My brother, a town guard, kept getting hurt — so I decided to become an alchemist to help him."
事情在我十六岁那年发生了变故。,事情在我十六岁那年发生了变故。,Everything changed when I turned sixteen.
那年莉娜从药师学院毕业，一场天火从天而降，将她的故乡烧毁。她的父母葬送在天火中，哥哥和妹妹受了重伤，为了救回唯一的亲人，莉娜花光了自己身上所有的积蓄。,那年莉娜从药师学院毕业，一场天火从天而降，将她的故乡烧毁。她的父母葬送在天火中，哥哥和妹妹受了重伤，为了救回唯一的亲人，莉娜花光了自己身上所有的积蓄。,"The year Lina graduated from alchemy school, a heavenly fire rained down and burned her hometown to ash. Her parents perished. Her brother and sister were gravely injured. To save her only remaining family, Lina spent every last coin she had."
即使我将自己身上的珍贵的东西都卖了，也支付不起神殿昂贵的治疗费。,即使我将自己身上的珍贵的东西都卖了，也支付不起神殿昂贵的治疗费。,"Even after selling everything I treasured, I couldn't afford the Temple's steep treatment fees."
走投无路之下，一个乡绅上门来找她，借了她一笔钱。,走投无路之下，一个乡绅上门来找她，借了她一笔钱。,"Desperate, a country squire came to her door and offered a loan."
那个人就是杰姆。那时我并不知道他是一个恶魔！契约纸被动了手脚，如果我偿还不起就会被取走灵魂，神殿会因此判我亵渎神明，烧死我的亲人！,那个人就是杰姆。那时我并不知道他是一个恶魔！契约纸被动了手脚，如果我偿还不起就会被取走灵魂，神殿会因此判我亵渎神明，烧死我的亲人！,"That man was Jim. I didn't know he was a demon! The contract was rigged — if I couldn't pay, my soul would be claimed, and the Temple would brand me a blasphemer and burn my family alive!"
莉娜从此之后日复一日干活，从没有一天休息，即使这样，债务却还是像滚雪球一般膨胀。她绝望地踏入黑暗森林，来到魔塔之下。,莉娜从此之后日复一日干活，从没有一天休息，即使这样，债务却还是像滚雪球一般膨胀。她绝望地踏入黑暗森林，来到魔塔之下。,"Day after day, Lina worked without rest. Even so, the debt snowballed. In despair, she entered the Dark Forest and arrived at the foot of the Magic Tower."
她没有勇气了结自我，所以不如被魔塔之主杀死，这样至少她的家人或许还有神殿赔偿。,她没有勇气了结自我，所以不如被魔塔之主杀死，这样至少她的家人或许还有神殿赔偿。,She didn't have the courage to end her own life — so better to be killed by the Tower Lord. At least her family might get compensation from the Temple.
……,……,...
魔塔之主出现了，她告诉我，如果我愿意，可以进入魔塔之中，在这里恶魔不敢伤害我。,魔塔之主出现了，她告诉我，如果我愿意，可以进入魔塔之中，在这里恶魔不敢伤害我。,"The Tower Lord appeared. She told me I could enter the tower — here, no demon would dare harm me."
你来啦，我的朋友。,你来啦，我的朋友。,"You're here, my friend."
永恒的心是非常稀有的物品，如果你有，一定要好好地保存。,永恒的心是非常稀有的物品，如果你有，一定要好好地保存。,"The Eternal Heart is incredibly rare. If you have one, guard it well."
那个幽灵吗？它好像是来魔塔找人的，不知道为什么连自己都忘记了。可惜我所有的记忆药水被巫师拿走了。,那个幽灵吗？它好像是来魔塔找人的，不知道为什么连自己都忘记了。可惜我所有的记忆药水被巫师拿走了。,"That ghost? He came to the tower looking for someone, but even forgot himself. Unfortunately, the wizard took all my Memory Potions."
所有人都说这些灾难都是因为魔塔之主的存在，只有杀死魔塔之主，我们才能够得到拯救。你是怎么觉得，勇士？,所有人都说这些灾难都是因为魔塔之主的存在，只有杀死魔塔之主，我们才能够得到拯救。你是怎么觉得，勇士？,"Everyone says the disasters are the Tower Lord's doing — that only by killing her can we be saved. What do you think, Brave?"
……,……,...
好吧，今天还是要看一看吗？,好吧，今天还是要看一看吗？,"Alright, still want to browse today?"
为什么？我们不是朋友吗？,为什么？我们不是朋友吗？,Why? Weren't we friends?
我完蛋了！你害惨我了，我做鬼都不会放过你！！！,我完蛋了！你害惨我了，我做鬼都不会放过你！！！,I'm finished! You've ruined me! I'll haunt you forever!!!
她死了，你可以离开魔塔了。,她死了，你可以离开魔塔了。,She's dead. You can leave the tower now.
魔塔之主不让我告诉你，是她让我在这里卖药给你的，包括永恒药水，可是现在说已经太晚了。,魔塔之主不让我告诉你，是她让我在这里卖药给你的，包括永恒药水，可是现在说已经太晚了。,"The Tower Lord made me promise not to tell you — she was the one who had me sell you potions, even the Perpetual Potion. But it's too late now."
一只毛色乌黑杂乱的老狗蜷缩在巷角，耷拉着的耳朵沾满泥浆，湿漉漉的红色眼睛蒙着白翳，破旧项圈半埋在蓬松的颈毛里。它用磨损的爪尖有气无力地扒拉着骨头，喉间挤出断续呜咽，尾巴在石板地上扫过。,一只毛色乌黑杂乱的老狗蜷缩在巷角，耷拉着的耳朵沾满泥浆，湿漉漉的红色眼睛蒙着白翳，破旧项圈半埋在蓬松的颈毛里。它用磨损的爪尖有气无力地扒拉着骨头，喉间挤出断续呜咽，尾巴在石板地上扫过。,"A shaggy black mutt cowers in the alley corner. Mud-caked ears droop low; its wet red eyes are clouded with film. A frayed collar is half-buried in its matted fur. It paws feebly at a bone with worn claws, letting out broken whimpers as its tail sweeps the stone floor."
勇士，请帮帮我，我是可怜的人，被邪恶的魔塔之主变成了一条狗。,勇士，请帮帮我，我是可怜的人，被邪恶的魔塔之主变成了一条狗。,"Brave, please help me! I'm a poor soul turned into a dog by the evil Tower Lord."
第三层的药剂师手中有解除变形药水，请把它给我,第三层的药剂师手中有解除变形药水，请把它给我,The Alchemist on Floor 3 has a Deformation Relief Potion. Please bring it to me.
那个药剂师，她可是欠了我许多债躲到了这里，我是为了追债来的,那个药剂师，她可是欠了我许多债躲到了这里，我是为了追债来的,That Alchemist owes me a lot of money and fled here. I'm just collecting my debt.
你拿到药水了吗？,你拿到药水了吗？,Did you get the potion?
我看看，你拿到药水了？快给我，拿走你的奖励,我看看，你拿到药水了？快给我，拿走你的奖励,Let me see — you got it? Hand it over! Take your reward.
告诉你一个秘密，药剂师是一个女巫，她欠了我很多钱跑了！多么邪恶的人！如果你能打败她，就可以拿到她的药水和配方！,告诉你一个秘密，药剂师是一个女巫，她欠了我很多钱跑了！多么邪恶的人！如果你能打败她，就可以拿到她的药水和配方！,"Let me tell you a secret — the Alchemist is a witch! She racked up a huge debt and ran off! If you beat her, you can claim all her potions and recipes!"
你杀了她？我的小可爱，你终于还是死了，我要去取走你的灵魂。,你杀了她？我的小可爱，你终于还是死了，我要去取走你的灵魂。,"You killed her? My dear little Lady, you're finally dead. Time to collect your soul."
哦，对了，这是一点谢礼，能帮助你打败魔塔之主。,哦，对了，这是一点谢礼，能帮助你打败魔塔之主。,"Oh, right — here's a little gift to help you defeat the Tower Lord."
要和它战斗吗?,要和它战斗吗?,Fight it?
战斗,战斗,Fight
愚蠢的东西，你竟然相信那个女巫说的话！,愚蠢的东西，你竟然相信那个女巫说的话！,You fool! You actually believed that witch?!
取消,取消,Cancel
这次算你赢了！下次你可没那么好运了！,这次算你赢了！下次你可没那么好运了！,You win this round! Next time you won't be so lucky!
我好痛啊！全身都在腐烂……却不会死去，这或许就是使用它的代价!,我好痛啊！全身都在腐烂……却不会死去，这或许就是使用它的代价!,It hurts so much! My body rots... yet I cannot die. Perhaps this is the price of using it!
我的药只差一步就要完成了……但一切都是无用之力……谎言！,我的药只差一步就要完成了……但一切都是无用之力……谎言！,My medicine was almost complete... but it's all futile... Lies!
勇士，选择很多，但是真正的道路只有一条。,勇士，选择很多，但是真正的道路只有一条。,"Brave one, there are many choices, but only one true path."
他死的时候，仅剩的魔力点燃了他的躯体,他死的时候，仅剩的魔力点燃了他的躯体,"As he dies, his last remnants of magic ignite his body."
只有这样才能不让瘟疫扩散开来,只有这样才能不让瘟疫扩散开来,Only this way can the plague be contained.
在他死后，一颗炙热的红宝石般剔透的心脏留在了原地，你走过去将它捡起,在他死后，一颗炙热的红宝石般剔透的心脏留在了原地，你走过去将它捡起,"After his death, a ruby-like heart, burning bright, remains. You walk over and pick it up."
一位银白色长发、血色双瞳的魔塔之主，皮肤如寒冰般苍白，头顶生长着漆黑的螺旋形尖角。她身披暗纹流动的血色长袍，斜倚在由白骨雕成的王座上。左手轻搭扶手，指尖缠绕着幽蓝魔焰,一位银白色长发、血色双瞳的魔塔之主，皮肤如寒冰般苍白，头顶生长着漆黑的螺旋形尖角。她身披暗纹流动的血色长袍，斜倚在由白骨雕成的王座上。左手轻搭扶手，指尖缠绕着幽蓝魔焰,"A Tower Lord with silver-white hair and blood-red eyes. Her skin is pale as frost; spiraling black horns crown her head. She wears a crimson robe woven with shifting dark patterns, lounging on a throne carved from bone. Her left hand rests on the armrest, sapphire flames dancing at her fingertips."
看到来者，冰晶风暴在魔塔之主银发间盘旋凝结，猩红色瞳孔骤然收缩,看到来者，冰晶风暴在魔塔之主银发间盘旋凝结，猩红色瞳孔骤然收缩,"As she sees you enter, an icy storm swirls in her silver hair. Her scarlet pupils contract sharply."
你终于来了，勇者，我等待着这一刻很久了。,你终于来了，勇者，我等待着这一刻很久了。,"You've finally come, hero. I've been waiting for this moment."
……,……,...
那是你曾经送给我的戒指,那是你曾经送给我的戒指,That ring — you gave it to me once.
……,……,...
不死不灭并不是祝福，于是我将我的心脏剖出赠予了巫师,不死不灭并不是祝福，于是我将我的心脏剖出赠予了巫师,Immortality is no blessing. So I cut out my heart and gave it to the wizard.
……,……,...
我们之间只能有一个人能够离开。这是宿命。,我们之间只能有一个人能够离开。这是宿命。,Only one of us can leave. That is fate.
……,……,...
你已经全部都想起来了，既然这样，你依然愿意放弃这场战斗吗？,你已经全部都想起来了，既然这样，你依然愿意放弃这场战斗吗？,You remember everything now. Even so — would you still give up this fight?
……,……,...
我愿意与你一同赴死,我愿意与你一同赴死,I am willing to die with you.
一切终于可以结束了,一切终于可以结束了,It can finally end.
我好像……忘了很多东西，你能帮助我找回我的记忆吗？,我好像……忘了很多东西，你能帮助我找回我的记忆吗？,I seem to have... forgotten many things. Can you help me recover my memories?
我终于想起来了，谢谢你，帮我把我的孩子带回来，这是给你的报酬。,我终于想起来了，谢谢你，帮我把我的孩子带回来，这是给你的报酬。,I remember now. Thank you for bringing my child back. This is my reward.
也许你可以听一听我的故事。,也许你可以听一听我的故事。,Perhaps you'd like to hear my story.
他的一生穷困潦倒，年轻时被人以诬陷的罪名关入监狱，一生都为了赎罪券还债。还没有等到债务偿还，就被领主抓走赶到了前线,他的一生穷困潦倒，年轻时被人以诬陷的罪名关入监狱，一生都为了赎罪券还债。还没有等到债务偿还，就被领主抓走赶到了前线,"His was a life of poverty. Falsely accused, he was thrown in prison and spent his youth paying off indulgences. Before the debt was cleared, the lord seized him and sent him to the front lines."
十年之后，他带着一身的伤回到故乡，故乡已经尸横遍野，满是断垣残壁，他已经无处可去，一身都要与疾病和痛苦为伴,十年之后，他带着一身的伤回到故乡，故乡已经尸横遍野，满是断垣残壁，他已经无处可去，一身都要与疾病和痛苦为伴,"Ten years later, scarred and broken, he returned home — only to find a wasteland of corpses and rubble. He had nowhere to go, doomed to a life of sickness and suffering."
突然，他在路上听到了一声啼哭，他拨开石头，在废墟下发现了一个孩子,突然，他在路上听到了一声啼哭，他拨开石头，在废墟下发现了一个孩子,"Then, on the road, he heard a cry. He pushed aside rubble and found a child beneath the ruins."
我就是在那个时候捡到了费伦，我的孩子，他是我人生中的救赎，因为遇到了他，我才有勇气继续走下去,我就是在那个时候捡到了费伦，我的孩子，他是我人生中的救赎，因为遇到了他，我才有勇气继续走下去,"That's when I found Ferren — my child. He was my salvation. Because of him, I found the courage to keep going."
从此以后，我将费伦作为自己的孩子抚养长大，可惜好景不长，我居住的村子又遭受到了瘟疫，费伦离开了，我到处都找不到他,从此以后，我将费伦作为自己的孩子抚养长大，可惜好景不长，我居住的村子又遭受到了瘟疫，费伦离开了，我到处都找不到他,"I raised Ferren as my own. But it didn't last — plague struck our village. Ferren left, and I searched everywhere but couldn't find him."
他说到这里脸色一变，仿佛是回忆起来了什么恐怖的事情，很难想象一个身经百战的老兵会露出这样的神色,他说到这里脸色一变，仿佛是回忆起来了什么恐怖的事情，很难想象一个身经百战的老兵会露出这样的神色,"His face darkens, as if recalling something horrifying — a look that would shake even a battle-hardened veteran."
于是我离开了村子到处寻找，不断地徘徊，不肯放弃。然而也正是我的坚持，我发现了可怕的事情,于是我离开了村子到处寻找，不断地徘徊，不肯放弃。然而也正是我的坚持，我发现了可怕的事情,"So I left the village and wandered, searching, refusing to give up. And my persistence led me to a terrible truth."
当他回到故乡希望能够找到孩子的踪影，却发现在不远的地方又有了新的村落。他走进村子讨口水喝，却在村子里看到了熟悉的面孔,当他回到故乡希望能够找到孩子的踪影，却发现在不远的地方又有了新的村落。他走进村子讨口水喝，却在村子里看到了熟悉的面孔,"When he returned to his hometown hoping to find traces of his child, he discovered a new village nearby. He went in for a drink of water — and saw familiar faces."
